"","method","k_num","ptime","k_orig","e","n","LOINC"
"1","BIC_kluster_mean",3,0.12364000000176,3,0,2155,"13457-7"
"2","cal_kluster_mean",15,1.1709400000039,3,12,2155,"13457-7"
"3","pam_kluster_mean",6,0.0352999999979511,3,3,2155,"13457-7"
"4","ap_kluster_mean",8,0.0371499999955995,3,5,2155,"13457-7"
"5","BIC_kluster_frq",3,0.12364000000176,3,0,2155,"13457-7"
"6","cal_kluster_frq",15,1.1709400000039,3,12,2155,"13457-7"
"7","pam_kluster_frq",2,0.0352999999979511,3,-1,2155,"13457-7"
"8","ap_kluster_frq",8,0.0371499999955995,3,5,2155,"13457-7"
"9","BIC_kluster_mean",4,0.0660299999971176,3,1,1322,"13969-1"
"10","cal_kluster_mean",14,1.33717999999993,3,11,1322,"13969-1"
"11","pam_kluster_mean",2,0.028959999998915,3,-1,1322,"13969-1"
"12","ap_kluster_mean",14,0.056650000003865,3,11,1322,"13969-1"
"13","BIC_kluster_frq",3,0.0660299999971176,3,0,1322,"13969-1"
"14","cal_kluster_frq",15,1.33717999999993,3,12,1322,"13969-1"
"15","pam_kluster_frq",2,0.028959999998915,3,-1,1322,"13969-1"
"16","ap_kluster_frq",13,0.056650000003865,3,10,1322,"13969-1"
"17","BIC_kluster_mean",3,0.0500700000027427,3,0,17484,"1742-6"
"18","cal_kluster_mean",15,1.16842999999702,3,12,17484,"1742-6"
"19","pam_kluster_mean",2,0.0274399999994785,3,-1,17484,"1742-6"
"20","ap_kluster_mean",12,0.0542600000009406,3,9,17484,"1742-6"
"21","BIC_kluster_frq",3,0.0500700000027427,3,0,17484,"1742-6"
"22","cal_kluster_frq",15,1.16842999999702,3,12,17484,"1742-6"
"23","pam_kluster_frq",2,0.0274399999994785,3,-1,17484,"1742-6"
"24","ap_kluster_frq",12,0.0542600000009406,3,9,17484,"1742-6"
"25","BIC_kluster_mean",3,0.0972400000010384,3,0,17257,"1751-7"
"26","cal_kluster_mean",15,0.92938000000082,3,12,17257,"1751-7"
"27","pam_kluster_mean",4,0.0236900000000605,3,1,17257,"1751-7"
"28","ap_kluster_mean",7,0.0509099999943282,3,4,17257,"1751-7"
"29","BIC_kluster_frq",3,0.0972400000010384,3,0,17257,"1751-7"
"30","cal_kluster_frq",15,0.92938000000082,3,12,17257,"1751-7"
"31","pam_kluster_frq",2,0.0236900000000605,3,-1,17257,"1751-7"
"32","ap_kluster_frq",7,0.0509099999943282,3,4,17257,"1751-7"
"33","BIC_kluster_mean",3,0.131379999999772,3,0,31482,"17861-6"
"34","cal_kluster_mean",15,0.944029999998747,3,12,31482,"17861-6"
"35","pam_kluster_mean",8,0.0230600000015693,3,5,31482,"17861-6"
"36","ap_kluster_mean",8,0.0513999999995576,3,5,31482,"17861-6"
"37","BIC_kluster_frq",3,0.131379999999772,3,0,31482,"17861-6"
"38","cal_kluster_frq",15,0.944029999998747,3,12,31482,"17861-6"
"39","pam_kluster_frq",10,0.0230600000015693,3,7,31482,"17861-6"
"40","ap_kluster_frq",7,0.0513999999995576,3,4,31482,"17861-6"
"41","BIC_kluster_mean",3,0.0461199999984819,3,0,16979,"1920-8"
"42","cal_kluster_mean",15,1.17994999999937,3,12,16979,"1920-8"
"43","pam_kluster_mean",2,0.0269000000040978,3,-1,16979,"1920-8"
"44","ap_kluster_mean",12,0.0572499999997672,3,9,16979,"1920-8"
"45","BIC_kluster_frq",3,0.0461199999984819,3,0,16979,"1920-8"
"46","cal_kluster_frq",15,1.17994999999937,3,12,16979,"1920-8"
"47","pam_kluster_frq",2,0.0269000000040978,3,-1,16979,"1920-8"
"48","ap_kluster_frq",12,0.0572499999997672,3,9,16979,"1920-8"
"49","BIC_kluster_mean",3,0.056579999999376,3,0,442,"1959-6"
"50","cal_kluster_mean",15,0.985120000002207,3,12,442,"1959-6"
"51","pam_kluster_mean",9,0.019910000001546,3,6,442,"1959-6"
"52","ap_kluster_mean",9,0.0606399999983842,3,6,442,"1959-6"
"53","BIC_kluster_frq",3,0.056579999999376,3,0,442,"1959-6"
"54","cal_kluster_frq",15,0.985120000002207,3,12,442,"1959-6"
"55","pam_kluster_frq",10,0.019910000001546,3,7,442,"1959-6"
"56","ap_kluster_frq",9,0.0606399999983842,3,6,442,"1959-6"
"57","BIC_kluster_mean",4,0.0375100000022212,3,1,16511,"1975-2"
"58","cal_kluster_mean",15,0.891120000001974,3,12,16511,"1975-2"
"59","pam_kluster_mean",2,0.0183600000006845,3,-1,16511,"1975-2"
"60","ap_kluster_mean",13,0.0589999999967404,3,10,16511,"1975-2"
"61","BIC_kluster_frq",3,0.0375100000022212,3,0,16511,"1975-2"
"62","cal_kluster_frq",15,0.891120000001974,3,12,16511,"1975-2"
"63","pam_kluster_frq",2,0.0183600000006845,3,-1,16511,"1975-2"
"64","ap_kluster_frq",14,0.0589999999967404,3,11,16511,"1975-2"
"65","BIC_kluster_mean",3,0.0993199999991339,3,0,33696,"2028-9"
"66","cal_kluster_mean",15,1.08723999999871,3,12,33696,"2028-9"
"67","pam_kluster_mean",9,0.0280700000008801,3,6,33696,"2028-9"
"68","ap_kluster_mean",8,0.0409200000017881,3,5,33696,"2028-9"
"69","BIC_kluster_frq",3,0.0993199999991339,3,0,33696,"2028-9"
"70","cal_kluster_frq",15,1.08723999999871,3,12,33696,"2028-9"
"71","pam_kluster_frq",10,0.0280700000008801,3,7,33696,"2028-9"
"72","ap_kluster_frq",8,0.0409200000017881,3,5,33696,"2028-9"
"73","BIC_kluster_mean",3,0.0624299999966752,3,0,33225,"2075-0"
"74","cal_kluster_mean",15,1.00485999999975,3,12,33225,"2075-0"
"75","pam_kluster_mean",10,0.019810000002617,3,7,33225,"2075-0"
"76","ap_kluster_mean",8,0.0642399999982445,3,5,33225,"2075-0"
"77","BIC_kluster_frq",3,0.0624299999966752,3,0,33225,"2075-0"
"78","cal_kluster_frq",15,1.00485999999975,3,12,33225,"2075-0"
"79","pam_kluster_frq",10,0.019810000002617,3,7,33225,"2075-0"
"80","ap_kluster_frq",8,0.0642399999982445,3,5,33225,"2075-0"
"81","BIC_kluster_mean",3,0.101419999997015,3,0,407,"2085-9"
"82","cal_kluster_mean",15,1.15120000000112,3,12,407,"2085-9"
"83","pam_kluster_mean",5,0.0294200000003912,3,2,407,"2085-9"
"84","ap_kluster_mean",8,0.0481700000027195,3,5,407,"2085-9"
"85","BIC_kluster_frq",3,0.101419999997015,3,0,407,"2085-9"
"86","cal_kluster_frq",15,1.15120000000112,3,12,407,"2085-9"
"87","pam_kluster_frq",2,0.0294200000003912,3,-1,407,"2085-9"
"88","ap_kluster_frq",8,0.0481700000027195,3,5,407,"2085-9"
"89","BIC_kluster_mean",3,0.128840000000782,3,0,6138,"2093-3"
"90","cal_kluster_mean",15,1.19092000000295,3,12,6138,"2093-3"
"91","pam_kluster_mean",6,0.036359999999404,3,3,6138,"2093-3"
"92","ap_kluster_mean",8,0.0362099999981001,3,5,6138,"2093-3"
"93","BIC_kluster_frq",3,0.128840000000782,3,0,6138,"2093-3"
"94","cal_kluster_frq",15,1.19092000000295,3,12,6138,"2093-3"
