"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",9,1.80600000000004,8,1,460
"2","pamk.best",2,0.436000000000035,8,-6,460
"3","calinski.best",13,1.10599999999999,8,5,460
"4","apclus.best",8,0.567999999999984,8,0,460
"5","BIC_kluster_mean",9,0.0563599999999997,8,1,460
"6","cal_kluster_mean",15,0.164320000000002,8,7,460
"7","pam_kluster_mean",3,0.00356000000000222,8,-5,460
"8","ap_kluster_mean",5,0.00503999999999905,8,-3,460
"9","BIC_kluster_frq",9,0.0563599999999997,8,1,460
"10","cal_kluster_frq",15,0.164320000000002,8,7,460
"11","pam_kluster_frq",2,0.00356000000000222,8,-6,460
"12","ap_kluster_frq",5,0.00503999999999905,8,-3,460
