"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",14,10.1469999999972,14,0,1771,0.1,"oqsWyUW",100,100,10
"2","pamk.best",2,22.5310000000172,14,-12,1771,0.1,"oqsWyUW",100,100,10
"3","calinski.best",12,7.55299999998533,14,-2,1771,0.1,"oqsWyUW",100,100,10
"4","apclus.best",18,28.984999999986,14,4,1771,0.1,"oqsWyUW",100,100,10
"5","BIC_kluster_mean",5,0.00520729999999749,14,-9,1771,0.1,"oqsWyUW",100,100,10
"6","cal_kluster_mean",15,0.0103930999999953,14,1,1771,0.1,"oqsWyUW",100,100,10
"7","pam_kluster_mean",2,0.000283800000004703,14,-12,1771,0.1,"oqsWyUW",100,100,10
"8","ap_kluster_mean",8,0.000258900000000722,14,-6,1771,0.1,"oqsWyUW",100,100,10
"9","BIC_kluster_frq",4,0.00520729999999749,14,-10,1771,0.1,"oqsWyUW",100,100,10
"10","cal_kluster_frq",15,0.0103930999999953,14,1,1771,0.1,"oqsWyUW",100,100,10
"11","pam_kluster_frq",2,0.000283800000004703,14,-12,1771,0.1,"oqsWyUW",100,100,10
"12","ap_kluster_frq",7,0.000258900000000722,14,-7,1771,0.1,"oqsWyUW",100,100,10
"13","BIC.best",14,11.7339999999967,14,0,1666,0.2,"KdcRYtK",100,100,10
"14","pamk.best",2,26.9659999999858,14,-12,1666,0.2,"KdcRYtK",100,100,10
"15","calinski.best",12,5.30199999999604,14,-2,1666,0.2,"KdcRYtK",100,100,10
"16","apclus.best",14,22.9590000000026,14,0,1666,0.2,"KdcRYtK",100,100,10
"17","BIC_kluster_mean",9,0.00450029999998806,14,-5,1666,0.2,"KdcRYtK",100,100,10
"18","cal_kluster_mean",15,0.00931300000001211,14,1,1666,0.2,"KdcRYtK",100,100,10
"19","pam_kluster_mean",3,0.000278300000005402,14,-11,1666,0.2,"KdcRYtK",100,100,10
"20","ap_kluster_mean",8,0.000279800000006799,14,-6,1666,0.2,"KdcRYtK",100,100,10
"21","BIC_kluster_frq",14,0.00450029999998806,14,0,1666,0.2,"KdcRYtK",100,100,10
"22","cal_kluster_frq",15,0.00931300000001211,14,1,1666,0.2,"KdcRYtK",100,100,10
"23","pam_kluster_frq",2,0.000278300000005402,14,-12,1666,0.2,"KdcRYtK",100,100,10
"24","ap_kluster_frq",8,0.000279800000006799,14,-6,1666,0.2,"KdcRYtK",100,100,10
"25","BIC.best",15,7.64699999999721,14,1,1681,0.3,"kdJCaWP",100,100,10
"26","pamk.best",2,18.6820000000007,14,-12,1681,0.3,"kdJCaWP",100,100,10
"27","calinski.best",13,4.88199999998324,14,-1,1681,0.3,"kdJCaWP",100,100,10
"28","apclus.best",15,24.0020000000077,14,1,1681,0.3,"kdJCaWP",100,100,10
"29","BIC_kluster_mean",13,0.00378849999999511,14,-1,1681,0.3,"kdJCaWP",100,100,10
"30","cal_kluster_mean",15,0.0094743999999977,14,1,1681,0.3,"kdJCaWP",100,100,10
"31","pam_kluster_mean",7,0.000275800000003073,14,-7,1681,0.3,"kdJCaWP",100,100,10
"32","ap_kluster_mean",8,0.00024770000000135,14,-6,1681,0.3,"kdJCaWP",100,100,10
"33","BIC_kluster_frq",15,0.00378849999999511,14,1,1681,0.3,"kdJCaWP",100,100,10
"34","cal_kluster_frq",15,0.0094743999999977,14,1,1681,0.3,"kdJCaWP",100,100,10
