"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",5,0.655700000001816,13,-8,1690000,100,0.1,"Damnaf3",100,1
"2","cal_kluster_mean",15,1.35333999999682,13,2,1690000,100,0.1,"Damnaf3",100,1
"3","pam_kluster_mean",3,0.0391199999954551,13,-10,1690000,100,0.1,"Damnaf3",100,1
"4","ap_kluster_mean",8,0.0281199999968521,13,-5,1690000,100,0.1,"Damnaf3",100,1
"5","BIC_kluster_frq",3,0.655700000001816,13,-10,1690000,100,0.1,"Damnaf3",100,1
"6","cal_kluster_frq",15,1.35333999999682,13,2,1690000,100,0.1,"Damnaf3",100,1
"7","pam_kluster_frq",2,0.0391199999954551,13,-11,1690000,100,0.1,"Damnaf3",100,1
"8","ap_kluster_frq",8,0.0281199999968521,13,-5,1690000,100,0.1,"Damnaf3",100,1
"9","BIC_kluster_mean",13,3.69174999998882,13,0,1690000,500,0.1,"Damnaf3",100,1
"10","cal_kluster_mean",13,5.00770000000251,13,0,1690000,500,0.1,"Damnaf3",100,1
"11","pam_kluster_mean",2,1.25691000000224,13,-11,1690000,500,0.1,"Damnaf3",100,1
"12","ap_kluster_mean",13,0.597710000007646,13,0,1690000,500,0.1,"Damnaf3",100,1
"13","BIC_kluster_frq",13,3.69174999998882,13,0,1690000,500,0.1,"Damnaf3",100,1
"14","cal_kluster_frq",13,5.00770000000251,13,0,1690000,500,0.1,"Damnaf3",100,1
"15","pam_kluster_frq",2,1.25691000000224,13,-11,1690000,500,0.1,"Damnaf3",100,1
"16","ap_kluster_frq",13,0.597710000007646,13,0,1690000,500,0.1,"Damnaf3",100,1
"17","BIC_kluster_mean",13,8.06490000000922,13,0,1690000,1000,0.1,"Damnaf3",100,1
"18","cal_kluster_mean",13,10.5277500000026,13,0,1690000,1000,0.1,"Damnaf3",100,1
"19","pam_kluster_mean",2,6.14400999999023,13,-11,1690000,1000,0.1,"Damnaf3",100,1
"20","ap_kluster_mean",14,3.47074999999953,13,1,1690000,1000,0.1,"Damnaf3",100,1
